TCID,Tytuł,Warunki wstępne,ID Kroku,Opis kroku,Oczekiwany rezultat
RT09,Sprawdzenie działania zadania 1 w wersji Demo,Użytkowik ma dostęp do aplikacji,,Otwarte zadanie 1,Widoczna treść zadania i kalkulator
RT10,Sprawdzeie liczby zadań w cześci końcowej aplikacji klienckiej,Użytkowik zalogowany do aplikacji,,Użytkownik przechodzi do ostatniego zadania,Ostatnie zadania ma ID większe niż 15
RT11,Sprawdzenie działania aplikacji klienckiej w trybie członka drużyny,Użytkownik zalogowany jako członek drużyny,,Użytkownik wybiera dowolne zadanie,"Przycisk ""Znalazłem defekt"" nieaktywny/niewidoczny"
RT12,Ilość zadań w wersji DEMO,Użytkownik wypakowuje oraz otwiera aplikację Mr Buggy 3,1,Użytkownik uruchamia aplikację w wersji DEMO,Aplikacja nie posiada więcej zadań
,,,2,Użytkownik rozwiązuje jedno zadanie,Aplikacja nie posiada więcej zadań
RT13,Wysyłanie danych na część serwerową z działającym połączeniem sieciowym,"Użytkownik zalogowany, aplikacja w wersji kosumenckiej",1,Użytkownik uruchamia aplikację w trybie offline,Aplikacja zostaje uruchomiona
,,,2,Użytkownik rozwiązuje jedno zadanie wybierając dowolną odpowiedź,Dane zostają zapisane
,,,3,"Użytkownik wybiera opcję ""Eksportuj""",Dane zostają wyeksportowana na serwer
,,,4,Uzytkownik wchodzi na część serwerową,Plik testowy z danymi jest dostępny dla użytkownika
RT14,Export plików z wersji klienckiej przy aktywnym połączeniu,"Użytkownik jest zalogowany, aplikacja uruchomiona",1,Użytkownik rozwiązuje jedno zadanie wybierając dowolną odpowiedź,Dane zostają zapisane
,,,2,Użytkownik klika w przycisk exportuj,Przycisk jest nieaktywny
RT15,Wybór trybu przy ponownym logowaniu,"Użytkownik zalogowany, aplikacja w wersji kosumenckiej",1,Użytkownik wybiera tryb Członka Drużyny,Wybrany tryb zostaje zimplementowany
,,,2,Użytkownik restartuje aplikację,Aplikacja zostaje zrestartowana
RT16,MrBuggy_wersja kliencka_przesył danych,Użytkownik zalogowany jako uczestnik; wersja końcowa dostępna; połączenie sieciowe istnieje,1,"Użytkownik rozwiązuje zadania i klika przycisk ""Zakończ""",Wyświetla się okno z potwierdzeniem zakończenia pracy
,,,2,Użytkownik potwierdza zakończenie pracy,"Zakończenie pracy z programem, przesłanie zadań do oceny"
RT23,,"Logowanie użytkownika jako sędzia, konto istnieje; wersja serwerowa dostępna",1,Użytkownik loguje się do aplikacji,"Użytkownik zalogowany, wyświetla się lista zadań do oceny"
RT24,,Użytkownik zalogowany jako uczestnik; wersja końcowa dostępna; brak połączenia sieciowego,1,Użytkownik rozwiązuje zadania i klika przycisk zakończ,Wyświetla się okno z potwierdzeniem zakonczneia pracy
RT25,,Użytkownik zalogowany jako sędzia; wersja serwerowa dostępna,1,Użytkownik eksportuje zadania do części serwerowej,Zadania są wyeksportowane
,,,2,Użytkownik importuje zadania do części serwerowej,Zadania są zaimportowane
RT 17,mr Buggy_potwierdzanie kończenia pracy,uruchomienie aplikacji w trybie gość,1.,"Uzytkownik klika w pole ""zakończ""",pojawia się komunikat ostrzegający o zamknięciu aplikacji
,,,2.,"Użytkownik wybiera ""tak""",pojawia sie ekran wyświetlający rezultat
RT 18,mr Buggy_przełączanie między zadaniami,uruchomienie aplikacji w trybie gość,1. ,"Użytkownik klika w pole ""następne""",pojawia sie kolejne zadanie do rozwiązania
,,,2.,"Użytkownik klika w pole ""poprzedenie""","pojawia się zadanie, które wykonywane było krok wcześniej"
RT19,mrBuggy_Uruchomienie,uruchamianie progaramu mrBuffy,1,urzytkownik uruchamia program mrBuggy,okno programu mrBuggy zostaje wyświetlone 
RT20,Sprawdzenie działania aplikacji klienckiej w trybie Zawodnika,Użytkownik zalogowany jako Zawodnik,1,Użytkownik wyświetla dowolne zadanie,"Przycisk ""Znalazłem defekt"" aktywny"
RT21,Sprawdzenie dzilania plikacji klienckiej po niepodziewanym wyłączeniu,Użytkownik zalogowany w dowolnym trybie,1,Użytownik omyłkowo wyłącza aplikację,"Po włączeniu aplikacja wyświetla ekran logowania
 Po zalogowaniu wyświetla ostatni ekran aktywności"
RT22,Część serwerowa - raportowanie -czy raport zbiorczy zawiera wszystkie elemety wymienioe w specyfikacji,Członek komisji zalogowany do części serwerowej,1,Członek Komisji Sędziowskiej generuje raport,"Rapoert zbiorczy zawiera kolumny:
 Pozycja w klasyfikacji generalnej; Nazwa zawodnika lub drużyny; Ilość przyznanych punktów za każde zadanie danego zawodnika/drużyny; Suma zdobytych punktów przez danego zawodnika/drużynę"
